,Title,Genre,Descrption
506,A Few Good Men,"Drama, Thriller",Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
507,Sicario,"Action, Crime, Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
508,The Hangover,Comedy,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
509,Kingsman: The Secret Service,"Action, Adventure, Comedy","A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
510,Zodiac,"Crime, Drama, Mystery","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
511,The Magnificent Seven,"Action, Adventure, Drama",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
512,The Magnificent Seven,"Action, Adventure, Drama",Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
513,The Count of Monte Cristo,"Action, Adventure, Drama","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
514,Wind River,"Crime, Drama, Mystery",A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.
515,Black Hawk Down,"Action, Drama, History","The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily-armed Somalis."
516,Ocean's Eleven,"Crime, Thriller",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
517,Ocean's Eleven,"Comedy, Crime, Music",Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
518,Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy","As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
519,Airplane!,Comedy,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.
520,What's Eating Gilbert Grape,Drama,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
521,Blue Is the Warmest Colour,"Drama, Romance","Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
522,Man on Fire,"Action, Crime, Drama","In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
523,Deliverance,"Adventure, Drama, Thriller","Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
524,Coraline,"Animation, Drama, Family","An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
525,500 Days of Summer,"Comedy, Drama, Romance","After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
526,Blue Velvet,"Crime, Drama, Mystery","The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
527,Home Alone,"Comedy, Family",An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.
528,Lost in Translation,"Comedy, Drama",A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
529,"O Brother, Where Art Thou?","Adventure, Comedy, Crime","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
530,Ex Machina,"Drama, Sci-Fi, Thriller",A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
531,Primal Fear,"Crime, Drama, Mystery","An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
532,Brokeback Mountain,"Drama, Romance",Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
533,Mr. Nobody,"Drama, Fantasy, Romance","A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
534,The Game,"Drama, Mystery, Thriller","After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
535,Silver Linings Playbook,"Comedy, Drama, Romance","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
536,Training Day,"Action, Crime, Drama",A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
537,Star Trek Into Darkness,"Action, Adventure, Sci-Fi","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
538,The Last of the Mohicans,"Action, Adventure, Drama",Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
539,First Blood,"Action, Adventure, Thriller",A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
540,The Lego Movie,"Animation, Action, Adventure","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
541,Halloween,"Horror, Thriller","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
542,Halloween,"Crime, Horror, Thriller","Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
543,Halloween,Horror,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
544,The Boondock Saints,"Action, Thriller",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
545,Tangled,"Animation, Adventure, Comedy","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
546,Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
547,Midnight in Paris,"Comedy, Fantasy, Romance","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
548,Blazing Saddles,"Comedy, Western","In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
549,3:10 to Yuma,"Action, Crime, Drama",A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
550,X: First Class,"Action, Sci-Fi","In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
551,As Good as It Gets,"Comedy, Drama, Romance","A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
552,Donnie Brasco,"Biography, Crime, Drama","An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
553,Glengarry Glen Ross,"Crime, Drama, Mystery",An examination of the machinations behind the scenes at a real estate office.
554,Argo,"Biography, Drama, Thriller","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
555,Toy Story 4,"Animation, Adventure, Comedy","When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
556,Who Framed Roger Rabbit,"Animation, Adventure, Comedy",A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
557,Gravity,"Drama, Sci-Fi, Thriller",Two astronauts work together to survive after an accident leaves them stranded in space.
558,Crash,"Crime, Drama, Thriller","Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
559,Crash,Drama,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
560,Apollo 13,"Adventure, Drama, History",NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
561,Philadelphia,Drama,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
562,Wreck-It Ralph,"Animation, Adventure, Comedy","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
563,The Theory of Everything,"Biography, Drama, Romance",A look at the relationship between the famous physicist Stephen Hawking and his wife.
564,Fried Green Tomatoes,Drama,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
565,A Man Called Ove,"Comedy, Drama, Romance","Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
566,Road to Perdition,"Crime, Drama, Thriller","A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
567,Sense and Sensibility,"Drama, Romance","Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
568,The Fault in Our Stars,"Drama, Romance",Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
569,Happiness,"Comedy, Drama","The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection."
570,Gattaca,"Drama, Sci-Fi, Thriller",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
571,When Harry Met Sally...,"Comedy, Drama, Romance","Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
572,Naked,"Comedy, Drama",An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
573,Empire of the Sun,"Drama, War",A young English boy struggles to survive under Japanese occupation of China during World War II.
574,The French Connection,"Action, Crime, Drama","A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
575,Detachment,Drama,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
576,The Boy in the Striped Pajamas,"Drama, War","Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
577,The Color Purple,Drama,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
578,The Longest Day,"Action, Drama, History","The events of D-Day, told on a grand scale from both the Allied and German points of view."
579,Dirty Harry,"Action, Crime, Thriller","When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath."
580,The Bourne Supremacy,"Action, Mystery, Thriller","When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
581,Paprika,"Animation, Drama, Fantasy","When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
582,Serpico,"Biography, Crime, Drama",An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
583,Lucky Number Slevin,"Crime, Drama, Thriller","A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
584,Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi","With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
585,This Is England,"Crime, Drama","A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
586,Being John Malkovich,"Comedy, Drama, Fantasy",A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
587,Evil Dead II,"Comedy, Horror",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
588,The Verdict,Drama,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
589,Clerks,Comedy,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
590,The Name of the Rose,"Drama, Mystery, Thriller",An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
591,Adaptation.,"Comedy, Drama",A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
592,The Dirty Dozen,"Action, Adventure, War","During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
593,The Wind Rises,"Animation, Biography, Drama","A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
594,The Caine Mutiny,"Drama, War","When a U.S. Naval captain shows signs of mental instability that jeopardizes the ship, the first officer relieves him of command and faces court martial for mutiny."
595,Billy Elliot,"Drama, Music",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
596,Ray,"Biography, Drama, Music","The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
597,Goldfinger,"Action, Adventure, Thriller","While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
598,Kung Fu Hustle,"Action, Comedy, Fantasy","In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
599,Malcolm X,"Biography, Drama, History","Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
600,Flipped,"Comedy, Drama, Romance",Two eighth-graders start to have feelings for each other despite being total opposites.
601,The Great Beauty,Drama,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
602,The Quiet Man,"Comedy, Drama, Romance","A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
603,Ordinary People,Drama,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son."
604,Finding Neverland,"Biography, Drama, Family",The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
605,Miller's Crossing,"Crime, Drama, Thriller","Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
606,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy","When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
607,Fantastic Planet,"Animation, Sci-Fi","On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
608,Mother,"Crime, Drama, Mystery",A mother desperately searches for the killer who framed her son for a girl's horrific murder.
609,Run Lola Run,"Action, Crime, Thriller","After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
610,The Last Emperor,"Biography, Drama, History",The story of the final Emperor of China.
611,Kubo and the Two Strings,"Animation, Action, Adventure",A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
612,Me and Earl and the Dying Girl,"Comedy, Drama, Romance","High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
613,Fantasia,"Animation, Family, Fantasy","A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
614,Black Book,"Drama, Thriller, War","In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
615,Beasts of No Nation,"Drama, War","A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
616,Short Cuts,"Comedy, Drama",The day-to-day lives of several suburban Los Angeles residents.
617,The African Queen,"Adventure, Drama, Romance","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
618,Nebraska,Drama,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
619,Night on Earth,"Comedy, Drama",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
620,Waking Life,"Animation, Drama, Fantasy",A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
621,Frost/Nixon,"Biography, Drama, History",A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
622,Dragon Ball Super: Broly,"Animation, Action, Adventure","Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before."
623,Hedwig and the Angry Inch,"Comedy, Drama, Music",A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
624,Good Bye Lenin!,"Comedy, Drama, Romance","In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
625,Down by Law,"Comedy, Crime, Drama","Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
626,When Marnie Was There,"Animation, Drama, Family","Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie."
627,Wait Until Dark,Thriller,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
628,The Broken Circle Breakdown,"Drama, Music, Romance","Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
629,The Magdalene Sisters,Drama,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
630,The Double Life of Véronique,"Drama, Fantasy, Music","Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
631,Evil,Drama,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
632,Happy Together,"Drama, Romance",A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
633,A Man for All Seasons,"Biography, Drama, History","The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
634,The Little Prince,"Animation, Adventure, Drama","A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
635,The Salesman,"Drama, Thriller","While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
636,The Motorcycle Diaries,"Adventure, Biography, Drama",The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
637,Adam's Apples,"Comedy, Crime, Drama",A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.
638,After the Wedding,Drama,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
639,Taste of Cherry,Drama,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.
640,The Experiment,"Drama, Thriller","For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
641,The Triplets of Belleville,"Animation, Adventure, Comedy","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
642,In America,Drama,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
643,The Purple Rose of Cairo,"Comedy, Fantasy, Romance","In New Jersey in 1935, a movie character walks off the screen and into the real world."
644,The Muppet Christmas Carol,"Comedy, Drama, Family",The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
645,The Past,"Drama, Mystery","An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
646,The Edge of Heaven,Drama,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
647,Joyeux Noel,"Drama, History, Music","In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life."
648,Harry Potter and the Sorcerer's Stone,"Adventure, Family, Fantasy","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
649,Saw,"Horror, Mystery, Thriller","Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
650,Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy","The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
651,American Psycho,"Crime, Drama, Horror","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
652,Superbad,Comedy,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
653,Watchmen,"Action, Drama, Mystery","In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
654,Love Actually,"Comedy, Drama, Romance","Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
655,300,"Action, Drama",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
656,The Little Mermaid,"Animation, Adventure, Family",A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
657,My Cousin Vinny,"Comedy, Crime","Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
658,Deadpool 2,"Action, Adventure, Comedy","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
659,Moana,"Animation, Adventure, Comedy","In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."
660,The Fifth Element,"Action, Adventure, Sci-Fi","In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
661,RoboCop,"Action, Crime, Sci-Fi","In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
662,RoboCop,"Action, Crime, Sci-Fi","In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
663,Office Space,Comedy,Three company workers who hate their jobs decide to rebel against their greedy boss.
664,Moneyball,"Biography, Drama, Sport",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
665,What We Do in the Shadows,"Comedy, Horror","Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
666,Kick-Ass,"Action, Comedy, Crime","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
667,A Star Is Born,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
668,A Star Is Born,"Drama, Musical, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
669,A Star Is Born,"Drama, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
670,A Star Is Born,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
671,Stardust,"Adventure, Family, Fantasy","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
672,The Others,"Horror, Mystery, Thriller",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.
673,The Butterfly Effect,"Drama, Sci-Fi, Thriller","Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
674,Eastern Promises,"Crime, Drama, Thriller",A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
675,Kung Fu Panda,"Animation, Action, Adventure","To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
676,Star Wars: Episode III - Revenge of the Sith,"Action, Adventure, Fantasy","Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
677,Hell or High Water,"Crime, Drama, Thriller",A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.
678,The Thin Red Line,"Drama, History, War","Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
679,Close Encounters of the Third Kind,"Drama, Sci-Fi","Roy Neary, an Indiana electric lineman, finds his quiet and ordinary daily life turned upside down after a close encounter with a UFO, spurring him to an obsessed cross-country quest for answers as a momentous event approaches."
680,Inside Man,"Crime, Drama, Mystery","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
681,Minority Report,"Action, Crime, Mystery","In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
682,Traffic,"Crime, Drama, Thriller","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
683,The Machinist,"Drama, Thriller",An industrial worker who hasn't slept in a year begins to doubt his own sanity.
684,Zombieland,"Action, Comedy, Horror","A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America."
685,Incredibles 2,"Animation, Action, Adventure",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
686,The Blind Side,"Biography, Drama, Sport","The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
687,The Royal Tenenbaums,"Comedy, Drama",The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.
688,True Grit,"Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
689,True Grit,"Adventure, Drama, Western",A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.
690,Lethal Weapon,"Action, Crime, Thriller",Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.
691,The Fly,"Drama, Horror, Sci-Fi",A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.
692,The Fly,"Drama, Horror, Sci-Fi",A brilliant but eccentric scientist begins to transform into a giant man/fly hybrid after one of his experiments goes horribly wrong.
693,Dark City,"Fantasy, Mystery, Sci-Fi","A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
694,Despicable Me,"Animation, Adventure, Comedy","When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
695,The Road Warrior,"Action, Adventure, Sci-Fi","In the post-apocalyptic Australian wasteland, a cynical drifter agrees to help a small, gasoline-rich community escape a horde of bandits."
